Date,PX_LAST
7/3/2019,1122.99
7/2/2019,1112.6
7/1/2019,1100
6/28/2019,1082.8
6/27/2019,1076.63
6/26/2019,1080.32
6/25/2019,1087.58
6/24/2019,1116.7
6/21/2019,1125.37
6/20/2019,1113.2
6/19/2019,1104.51
6/18/2019,1105.24
6/17/2019,1093.89
6/14/2019,1086.3
6/13/2019,1091.01
6/12/2019,1079.1
6/11/2019,1081.04
6/10/2019,1082.76
6/7/2019,1068.37
6/6/2019,1047.76
6/5/2019,1044.64
6/4/2019,1054.49
6/3/2019,1038.74
5/31/2019,1106.5
5/30/2019,1121.41
5/29/2019,1119.94
5/28/2019,1139.56
5/24/2019,1138.61
5/23/2019,1145.34
5/22/2019,1155.85
5/21/2019,1154.44
5/20/2019,1144.66
5/17/2019,1168.78
5/16/2019,1184.5
5/15/2019,1170.8
5/14/2019,1124.86
5/13/2019,1136.59
5/10/2019,1167.64
5/9/2019,1167.97
5/8/2019,1170.78
5/7/2019,1178.86
5/6/2019,1193.46
5/3/2019,1189.55
5/2/2019,1166.51
5/1/2019,1173.32
4/30/2019,1198.96
4/29/2019,1296.2
4/26/2019,1277.42
4/25/2019,1267.34
4/24/2019,1260.05
4/23/2019,1270.59
4/22/2019,1253.76
4/18/2019,1241.47
4/17/2019,1240.14
4/16/2019,1231.91
4/15/2019,1226.53
4/12/2019,1222.73
4/11/2019,1209.59
4/10/2019,1206.45
4/9/2019,1202.69
4/8/2019,1208.28
4/5/2019,1211.45
4/4/2019,1219.45
4/3/2019,1210.81
4/2/2019,1205.54
4/1/2019,1198.98
3/29/2019,1176.89
3/28/2019,1172.27
3/27/2019,1178.01
3/26/2019,1189.84
3/25/2019,1197.38
3/22/2019,1207.65
3/21/2019,1236.13
3/20/2019,1226.43
3/19/2019,1202.46
3/18/2019,1188.55
3/15/2019,1190.3
3/14/2019,1192.53
3/13/2019,1199.06
3/12/2019,1197.25
3/11/2019,1179.26
3/8/2019,1149.97
3/7/2019,1150.85
3/6/2019,1164.94
3/5/2019,1169.19
3/4/2019,1153.42
3/1/2019,1148.52
2/28/2019,1126.55
2/27/2019,1122.89
2/26/2019,1122.01
2/25/2019,1117.33
2/22/2019,1116.56
2/21/2019,1104.21
2/20/2019,1120.59
2/19/2019,1126.51
2/15/2019,1119.63
2/14/2019,1129.2
2/13/2019,1128.63
2/12/2019,1127.58
2/11/2019,1102.12
2/8/2019,1102.38
2/7/2019,1105.91
2/6/2019,1122.89
2/5/2019,1151.87
2/4/2019,1141.42
2/1/2019,1118.62
1/31/2019,1125.89
1/30/2019,1097.99
1/29/2019,1070.06
1/28/2019,1079.86
1/25/2019,1101.51
1/24/2019,1084
1/23/2019,1084.41
1/22/2019,1078.63
1/18/2019,1107.3
1/17/2019,1099.12
1/16/2019,1089.51
1/15/2019,1086.51
1/14/2019,1051.51
1/11/2019,1064.47
1/10/2019,1078.83
1/9/2019,1081.65
1/8/2019,1085.37
1/7/2019,1075.92
1/4/2019,1078.07
1/3/2019,1025.47
1/2/2019,1054.68
12/31/2018,1044.96
12/28/2018,1046.68
12/27/2018,1052.9
12/26/2018,1047.85
12/24/2018,984.67
12/21/2018,991.25
12/20/2018,1023.58
12/19/2018,1035.46
12/18/2018,1043.41
12/17/2018,1025.65
12/14/2018,1051.71
12/13/2018,1073.54
12/12/2018,1073.73
12/11/2018,1061.65
12/10/2018,1053.18
12/7/2018,1046.58
12/6/2018,1078.08
12/4/2018,1062.47
12/3/2018,1116.36
11/30/2018,1109.65
11/29/2018,1094.58
11/28/2018,1091.79
11/27/2018,1052.28
11/26/2018,1055.94
11/23/2018,1030.1
11/21/2018,1043.43
11/20/2018,1030.45
11/19/2018,1027.42
11/16/2018,1068.27
11/15/2018,1071.05
11/14/2018,1054.58
11/13/2018,1047.97
11/12/2018,1049.36
11/9/2018,1077.02
11/8/2018,1094.63
11/7/2018,1108.24
11/6/2018,1069.57
11/5/2018,1055.73
11/2/2018,1071.49
11/1/2018,1085.98
10/31/2018,1090.58
10/30/2018,1049.51
10/29/2018,1034.73
10/26/2018,1083.75
10/25/2018,1103.59
10/24/2018,1057.12
10/23/2018,1114.91
10/22/2018,1111.37
10/19/2018,1105.18
10/18/2018,1097.91
10/17/2018,1127.59
10/16/2018,1133.08
10/15/2018,1102.44
10/12/2018,1120.54
10/11/2018,1090.74
10/10/2018,1092.16
10/9/2018,1145.17
10/8/2018,1155.92
10/5/2018,1167.83
10/4/2018,1177.07
10/3/2018,1211.53
10/2/2018,1207.64
10/1/2018,1208.53
9/28/2018,1207.08
9/27/2018,1207.36
9/26/2018,1194.06
9/25/2018,1193.89
9/24/2018,1179.56
9/21/2018,1172.12
9/20/2018,1191.57
9/19/2018,1174.27
9/18/2018,1167.11
9/17/2018,1159.83
9/14/2018,1177.98
9/13/2018,1182.14
9/12/2018,1171.6
9/11/2018,1189.99
9/10/2018,1175.06
9/7/2018,1177.59
9/6/2018,1183.99
9/5/2018,1199.1
9/4/2018,1211.31
8/31/2018,1231.8
8/30/2018,1254.44
8/29/2018,1264.65
8/28/2018,1245.86
8/27/2018,1256.27
8/24/2018,1236.75
8/23/2018,1221.16
8/22/2018,1221.75
8/21/2018,1217.41
8/20/2018,1221.95
8/17/2018,1215.85
8/16/2018,1224.06
8/15/2018,1232.22
8/14/2018,1258.14
8/13/2018,1248.64
8/10/2018,1252.51
8/9/2018,1264.46
8/8/2018,1261.33
8/7/2018,1255.84
8/6/2018,1237.67
8/3/2018,1238.16
8/2/2018,1241.13
8/1/2018,1232.99
7/31/2018,1227.22
7/30/2018,1230.04
7/27/2018,1252.89
7/26/2018,1285.5
7/25/2018,1275.94
7/24/2018,1258.15
7/23/2018,1211
7/20/2018,1197.88
7/19/2018,1199.1
7/18/2018,1212.91
7/17/2018,1213.08
7/16/2018,1196.51
7/13/2018,1204.42
7/12/2018,1201.26
7/11/2018,1171.46
7/10/2018,1167.14
7/9/2018,1167.28
7/6/2018,1155.08
7/5/2018,1141.29
7/3/2018,1116.28
7/2/2018,1142.11
6/29/2018,1129.19
6/28/2018,1126.78
6/27/2018,1116.94
6/26/2018,1132.62
6/25/2018,1139.28
6/22/2018,1169.29
6/21/2018,1169.44
6/20/2018,1184.07
6/19/2018,1178.69
6/18/2018,1183.58
6/15/2018,1159.27
6/14/2018,1160.11
6/13/2018,1144.23
6/12/2018,1148.19
6/11/2018,1140.9
6/8/2018,1132.71
6/7/2018,1134.42
6/6/2018,1146.95
