Date,PX_LAST
7/3/2019,381.72
7/2/2019,375.43
7/1/2019,374.6
6/28/2019,367.32
6/27/2019,370.02
6/26/2019,362.2
6/25/2019,360.3
6/24/2019,371.04
6/21/2019,369.21
6/20/2019,365.21
6/19/2019,363.52
6/18/2019,357.12
6/17/2019,350.62
6/14/2019,339.73
6/13/2019,343.43
6/12/2019,345.56
6/11/2019,351.27
6/10/2019,352.01
6/7/2019,360.87
6/6/2019,357.13
6/5/2019,355.73
6/4/2019,353.4
6/3/2019,336.63
5/31/2019,343.28
5/30/2019,351.85
5/29/2019,349.19
5/28/2019,354.78
5/24/2019,354.39
5/23/2019,352.21
5/22/2019,359.73
5/21/2019,354.27
5/20/2019,348.11
5/17/2019,354.45
5/16/2019,359.31
5/15/2019,354.99
5/14/2019,345.61
5/13/2019,345.26
5/10/2019,361.04
5/9/2019,362.75
5/8/2019,364.37
5/7/2019,370.46
5/6/2019,378.67
5/3/2019,385.03
5/2/2019,379.06
5/1/2019,378.81
4/30/2019,370.54
4/29/2019,371.83
4/26/2019,374.85
4/25/2019,368.33
4/24/2019,374.23
4/23/2019,381.89
4/22/2019,377.34
4/18/2019,360.35
4/17/2019,354.74
4/16/2019,359.46
4/15/2019,348.87
4/12/2019,351.14
4/11/2019,367.65
4/10/2019,363.92
4/9/2019,364.71
4/8/2019,361.41
4/5/2019,365.49
4/4/2019,367.88
4/3/2019,369.75
4/2/2019,367.72
4/1/2019,366.96
3/29/2019,356.56
3/28/2019,354.61
3/27/2019,353.37
3/26/2019,359.97
3/25/2019,366.23
3/22/2019,361.01
3/21/2019,377.87
3/20/2019,375.22
3/19/2019,358.78
3/18/2019,363.44
3/15/2019,361.46
3/14/2019,358.82
3/13/2019,361.21
3/12/2019,356.27
3/11/2019,358.86
3/8/2019,349.6
3/7/2019,352.6
3/6/2019,359.61
3/5/2019,354.3
3/4/2019,351.04
3/1/2019,357.32
2/28/2019,358.1
2/27/2019,362.87
2/26/2019,364.97
2/25/2019,363.91
2/22/2019,363.02
2/21/2019,356.97
2/20/2019,359.91
2/19/2019,361.92
2/15/2019,356.87
2/14/2019,359.07
2/13/2019,351.77
2/12/2019,359.97
2/11/2019,345.73
2/8/2019,347.57
2/7/2019,344.71
2/6/2019,352.19
2/5/2019,355.81
2/4/2019,351.34
2/1/2019,339.85
1/31/2019,339.5
1/30/2019,340.66
1/29/2019,328.9
1/28/2019,335.66
1/25/2019,338.05
1/24/2019,326.67
1/23/2019,321.99
1/22/2019,325.16
1/18/2019,339.1
1/17/2019,353.19
1/16/2019,351.39
1/15/2019,354.64
1/14/2019,332.94
1/11/2019,337.59
1/10/2019,324.66
1/9/2019,319.96
1/8/2019,320.27
1/7/2019,315.34
1/4/2019,297.57
1/3/2019,271.2
1/2/2019,267.66
12/31/2018,267.66
12/28/2018,256.08
12/27/2018,255.565
12/26/2018,253.67
12/24/2018,233.88
12/21/2018,246.39
12/20/2018,260.58
12/19/2018,266.77
12/18/2018,270.94
12/17/2018,262.8
12/14/2018,266.84
12/13/2018,276.02
12/12/2018,274.88
12/11/2018,265.32
12/10/2018,269.7
12/7/2018,265.14
12/6/2018,282.88
12/4/2018,275.33
12/3/2018,290.3
11/30/2018,286.13
11/29/2018,288.75
11/28/2018,282.65
11/27/2018,266.63
11/26/2018,261.43
11/23/2018,258.82
11/21/2018,262.13
11/20/2018,266.98
11/19/2018,270.6
11/16/2018,286.21
11/15/2018,290.06
11/14/2018,286.73
11/13/2018,294.4
11/12/2018,294.07
11/9/2018,303.47
11/8/2018,317.92
11/7/2018,327.5
11/6/2018,310.84
11/5/2018,315.44
11/2/2018,309.1
11/1/2018,317.38
10/31/2018,301.78
10/30/2018,285.81
10/29/2018,284.84
10/26/2018,299.83
10/25/2018,312.87
10/24/2018,301.83
10/23/2018,333.16
10/22/2018,329.54
10/19/2018,332.67
10/18/2018,346.71
10/17/2018,364.7
10/16/2018,346.4
10/15/2018,333.13
10/12/2018,339.56
10/11/2018,321.1
10/10/2018,325.89
10/9/2018,355.71
10/8/2018,349.1
10/5/2018,351.35
10/4/2018,363.65
